Tieback,Comment,CategoryCode,Category,SubCategoryCode,SubCategory,Coded CategoryCode,Category_1,Coded SubCategoryCode,SubCategory_1,ConditionCode,Condition Description,FinalCode,Hot Alert
57547163,"S-E All the previous vehicles I've had turn on the low-fuel light near 20 miles.  The Toyota Tundray turns on the light near 5 miles.  It's very little margin to reach the nearest service station if you're going on the highway. {{{ Todos los vehiculo anteriores que he tenido encienden la luz de bajo combustible cercana a las 20 millas, la Toyota Tundra enciende la luz cercano a las 5 millas es muy poco margen si vas en una autopista llegar a la estacion de servicio mas cercana",45,Gauges & Lights,7,Low fuel light,45,Gauges & Lights,7,Low fuel light,WC,"Would like to have, change, add feature, make standard",054507WC,False
57658128,"When I plug it in, the charging station shows my car is charging at 0.10kW, which means it is not even charging. This happen many times, I have to start my car and turn it off again and plug in the charging cable in order to really start charging.  In addition, before I unplug the charging cable, the screen in the dashboard said ""20 minutes left"", however when I unplug the charger, it shows ""100%"".",41,Engine,21,Electric/hybrid battery charging,41,Engine,21,Electric/hybrid battery charging,CR,Charging,054121CR,True
57644364,"Cross bars should fold into the roof rails like Subaru vehicle do.  Having to put on and take off the cross bars is difficult and hard to remember if not done all the time.  You have to plan ahead if you are going to use the cross bars and make sure you bring them with you.  Because the cross bars do not fold into the rails, there is no spontaneous use of the roof rack.  This is a very poor design",19,Exterior Body,12,Roof rack,19,Exterior Body,12,Roof rack,WC,"Would like to have, change, add feature, make standard",051912WC,True
57703546,"Not sure this is park assist or pre collision but what ever the proximity sensors work with I have a few issues.  1. When the car is in reverse, I don't think that an alarm should sound for things in front of the car. Say im pulling out of a parking space, often it will alarm and I'm expecting something behind me,  when it's actually the parked car in front. 2. I've had the brakes auto engage when",14,Interior Operation & Controls,27,Park assist,14,Interior Operation & Controls,27,Park assist,WC,"Would like to have, change, add feature, make standard",051427WC,True
57693044,"Since the head unit in my 2020 Tacoma support CarPlay and Android Auto, I have no built-in apps AT ALL. NO Entune App Suite. WHY NOT??? Why would Toyota REMOVE built-in functionality when they added CarPlay? What about customers without a smart phone? They're out of luck. I'm hoping that Toyota will resolve this and make the Entune App Suite available again via a firmware update. Pretty ridiculous",29,"Audio, Communication, Navigation System",99,Audio/Comm/Nav problem other than listed,29,"Audio, Communication, Navigation System",99,Audio/Comm/Nav problem other than listed,WC,"Would like to have, change, add feature, make standard",052999WC,True
57542243,12V battery lost all charge due to some unknown reason.  Do not recall leaving any electric loads 'on' when turning off the vehicle for the night.  Unable to start the car the next day.  Had to arrange for a tech person from dealership to come out two days later with a battery to jump-start.  Don't know if this a defect or if due to 'operator error'.  Still concerned since no cause was identified.,41,Engine,1,Battery,41,Engine,1,Battery,IC,Inoperative,054101IC,True
57584692,"I've discovered this vehicle does have remote engine start, enabled by a ""click-click-click-hold"" of the lock button on the key fob. Just like the remote engine start from Lexus Enform, the engine will turn off when the door is opened. Customers do not want this. I'm sure there is some ""theft prevention"" excuse, but other manufacturers do not have this issue, so it is a problem that needs solving.",41,Engine,19,Remote engine start (RES),41,Engine,19,Remote engine start (RES),FB,"Features, options",054119FB,True
57465327,"on occasion (six times in the 8 weeks I have the car) when I shift to reverse the car makes a VERY LOUD SCREECHING sound for about two or three seconds and the stops. I told the service person at ray catena and his answer was ""if I can't hear it I can't fix it and it's probably normal"" but he didn't try to find out what it was. same thing at sample road florida dealer. I want to get this on record",41,Engine,99,Engine problem other than listed,43,Transmssion,2,"Transmission noise(excessive, abnormal)",NC,"Noise-squeaks, rattles",054302NC,True
57627367,"when my iPhone 11pro is plugged in and I make or receive a phone call the audio clips and it is hard to hear or for the other party to understand me. I'm in the wireless industry, for the last 23 years, and it appears the transferring and processing of the call is via the cable is too slow causing this issue. very annoying when I have my iPhone plugged in to listen to music and then receive a call",29,"Audio, Communication, Navigation System",58,Apple CarPlay™/Android Auto™,29,"Audio, Communication, Navigation System",28,Bluetooth - phone calls,SL,Sound quality ,052928SL,True
57590974,"Driver's seat feels to me like the left side (closest to the door) is slightly lower than the other side.  Maybe because the seat is much closer to the center console than the door, which means that when you try to center yourself in the cockpit you are sitting more on that (door) side, softening that side of the seat cushion, making the seat feel sloped toward the door.  That's just how it feels.",26,Seats,99,Seat problem other than listed,26,Seats,92,Other - Seats (unspecified),FB,"Features, options",052692FB,True
